'm	5.390
're	5.230
's	5.860
0	5.220
0f	2.550
0s	2.660
1	6.000
1a	3.470
1am	3.050
1b	3.440
1bn	2.500
1c	2.940
1d	3.090
1e	2.620
1g	2.680
1gb	2.800
1h	2.940
1hr	2.500
1k	3.330
1km	2.460
1l	2.560
1m	3.560
1million	2.640
1mm	2.530
1p	2.650
1pc	2.390
1pm	3.230
1r	2.390
1s	3.360
1st	4.830
1tb	2.800
1u	2.470
1v1	2.720
1x	3.130
1x00	2.700
2	6.000
2a	3.570
2am	3.220
2b	3.420
2c	3.190
2d	3.840
2day	2.510
2e	2.770
2f	2.620
2g	2.950
2gb	3.040
2h	2.870
2k	3.550
2k00	2.920
2km	2.480
2l	2.570
2m	3.330
2mm	2.530
2n	2.730
2nd	4.740
2p	2.860
2pm	3.330
2r	2.400
2s	3.190
2t	2.540
2tb	2.450
2u	2.470
2v2	2.590
2x	3.550
2x00	2.750
2x2	2.400
3	5.910
3a	3.400
3am	3.300
3b	3.220
3c	3.030
3d	4.460
3ds	3.340
3e	2.590
3ft	2.500
3g	3.400
3gb	2.400
3h	2.630
3in	2.400
3k	3.160
3m	3.480
3mm	2.470
3p	2.770
3pm	3.360
3rd	4.650
3s	3.380
3t	2.580
3v3	2.470
3x	3.330
3x00	2.620
3x3	2.580
4	5.780
4a	3.280
4am	3.150
4b	2.870
4c	2.920
4chan	2.700
4d	3.170
4e	2.670
4g	3.510
4gb	3.050
4h	2.580
4k	3.690
4l	2.400
4m	3.100
4mm	2.430
4p	2.550
4pm	3.380
4s	3.340
4t	2.400
4th	4.550
4u	2.690
4wd	2.940
4x	3.160
4x00	2.630
4x000	2.600
4x000m	2.460
4x4	3.160
5	5.750
5'00	2.860
5'2	2.450
5'5	2.510
5'6	2.500
5'7	2.540
5'8	2.500
5'9	2.750
5a	3.180
5am	3.160
5b	2.750
5c	3.070
5d	2.920
5e	2.660
5ft	2.790
5g	3.160
5k	3.590
5km	2.640
5m	3.240
5mm	2.560
5p	2.700
5pm	3.510
5s	3.510
5th	4.420
5v	2.500
5x	3.110
5x00	2.480
6	5.590
6'1	2.400
6'2	2.590
6'3	2.500
6'4	2.590
6'5	2.480
6a	3.080
6am	3.260
6b	2.750
6c	2.660
6d	2.820
6ft	3.070
6gb	2.390
6k	2.790
6m	2.950
6mm	2.540
6p	2.780
6pm	3.480
6s	3.300
6th	4.300
6x	2.720
6x00	2.400
7	5.550
7a	2.860
7am	3.230
7b	2.640
7c	2.570
7d	2.720
7k	2.730
7m	2.800
7p	2.410
7pm	3.420
7s	3.080
7th	4.270
7x	2.400
8	5.480
8a	2.780
8am	3.340
8b	2.600
8c	2.900
8d	2.560
8gb	3.130
8k	2.890
8m	2.830
8mm	2.700
8p	2.410
8pm	3.410
8s	2.960
8th	4.240
8vo	2.480
8x	2.690
8x00	2.650
9	5.410
9a	2.700
9am	3.420
9b	2.430
9c	2.410
9k	2.600
9m	2.700
9mm	2.950
9pm	3.400
9s	2.840
9th	4.140
9x	2.450
_	4.210
a	7.360
a's	3.490
a.a	2.770
a.b	2.870
a.c	3.090
a.d	3.390
a.e	2.420
a.g	2.680
a.h	2.460
a.i	2.930
a.j	3.250
a.k.a	3.330
a.l	2.420
a.m	4.350
a.m.	4.350
a.p	2.720
a.r	2.540
a.s	2.890
a.t	2.420
a.v	2.410
a0	2.390
a00	3.860
a000	3.810
a0000	3.280
a1	3.640
a2	3.490
a3	3.290
a4	3.340
a5	3.070
a6	3.010
a7	2.870
a8	2.830
a9	2.830
aa	4.010
aaa	3.770
aaaa	2.590
aaaah	2.570
aaah	2.710
aaas	2.410
aac	3.000
aachen	2.600
aadhaar	2.400
aadmi	2.510
aaf	2.410
aah	2.810
aaliyah	2.580
aam	2.790
aamir	2.630
aan	2.520
aang	2.710
aap	3.470
aapl	2.400
aar	2.620
aardvark	2.390
aarhus	2.580
aaron	4.230
aaron's	2.760
aarp	2.750
aas	2.850
aau	2.660
ab	4.060
aba	3.320
ababa	2.960
aback	2.990
abacus	2.650
abalone	2.660
abandon	4.020
abandoned	4.400
abandoning	3.510
abandonment	3.400
abandons	2.960
abate	2.680
abated	2.590
abatement	2.730
abattoir	2.500
abb	2.760
abba	3.150
abbas	3.410
abbe	2.440
abbess	2.500
abbey	3.880
abbie	2.930
abbot	3.430
abbots	2.430
abbotsford	2.650
abbott	3.780
abbott's	2.670
abbreviated	3.190
abbreviation	3.140
abbreviations	3.040
abby	3.560
abby's	2.420
abbé	2.470
abc	4.240
abc's	3.160
abcd	2.430
abcs	2.500
abd	3.140
abdallah	2.540
abdel	3.110
abdi	2.630
abdicate	2.660
abdicated	2.580
abdication	2.800
abdomen	3.560
abdominal	3.580
abduct	2.740
abducted	3.560
abducting	2.550
abduction	3.430
abductions	2.670
abductor	2.460
abdul	3.660
abdulaziz	2.450
abdulla	2.410
abdullah	3.540
abe	3.620
abe's	2.480
abed	2.830
abel	3.480
abelian	2.400
abell	2.400
aber	2.470
abercrombie	2.970
aberdeen	3.810
aberdeenshire	2.910
abernathy	2.590
aberrant	2.690
aberration	2.980
aberrations	2.630
aberystwyth	2.840
abet	2.410
abetted	2.560
abetting	2.820
abh	2.520
abhi	2.420
abhishek	2.480
abhor	2.640
abhorrent	2.970
abhorrently	1.180
abi	3.300
abide	3.590
abides	2.550
abiding	3.450
abidjan	2.500
abigail	3.380
abilene	2.810
abilities	4.210
ability	4.960
abingdon	2.790
abington	2.420
abit	2.560
abject	3.000
abkhazia	2.650
abl	2.530
ablation	2.770
ablaze	2.930
able	5.430
ableton	2.500
ably	2.670
abm	2.580
abn	2.600
abner	2.840
abnormal	3.710
abnormalities	3.310
abnormality	2.890
abnormally	3.070
abo	2.770
aboard	4.140
abode	3.130
abolish	3.480
abolished	3.620
abolishing	3.100
abolition	3.510
abolitionist	2.740
abolitionists	2.650
abominable	2.850
abomination	3.130
abominations	2.570
aboriginal	3.780
aboriginals	2.550
aborigine	2.110
aborigines	2.950
abort	3.270
aborted	3.180
aborting	2.410
abortion	4.240
abortions	3.530
abortive	2.670
abou	2.750
abound	3.270
abounded	2.410
abounding	2.480
abounds	2.700
about	6.400
above	5.200
abp	2.500
abra	2.680
abraham	3.980
abraham's	2.500
abrahamic	2.480
abrahams	2.710
abram	2.900
abramovich	2.430
abrams	3.390
abramson	2.490
abrasion	2.910
abrasions	2.600
abrasive	3.220
abrasives	2.440
abreast	2.950
abreu	2.640
abridged	3.010
abroad	4.390
abrupt	3.380
abruptly	3.560
abs	3.860
absalom	2.390
abscess	2.810
abscesses	2.420
absence	4.340
absences	3.010
absent	3.980
absentee	3.170
absenteeism	2.570
absentia	2.640
absinthe	2.690
absolute	4.540
absolutely	4.980
absolutes	2.430
absolution	2.850
absolutism	2.450
absolutist	2.400
absolve	2.830
absolved	2.690
absorb	3.810
absorbed	3.920
absorbent	2.810
absorber	2.710
absorbers	2.650
absorbing	3.500
absorbs	3.180
absorption	3.660
abstain	3.070
abstained	2.780
abstaining	2.690
abstention	2.510
abstentions	2.460
abstinence	3.180
abstract	4.140
abstracted	2.840
abstracting	2.560
abstraction	3.300
abstractions	2.750
abstracts	3.110
absurd	3.950
absurdities	2.440
absurdity	3.210
absurdly	2.950
abt	3.240
abu	4.010
abubakar	2.720
abuja	3.150
abul	2.400
abundance	3.860
abundant	3.770
abundantly	3.110
abuse	4.660
abused	4.000
abuser	3.140
abusers	3.250
abuses	3.690
abusing	3.620
abusive	3.870
abut	2.540
abutting	2.450
abv	2.950
abysmal	2.920
abyss	3.400
abyssal	2.390
abyssinia	2.400
ac	4.250
ac00	2.400
aca	3.480
acacia	3.010
acad	2.440
academia	3.540
academic	4.570
academically	3.180
academician	2.440
academicians	2.450
academics	3.780
academies	3.340
academy	4.570
academy's	2.860
acadia	2.720
acapulco	2.830
acb	2.560
acc	3.670
acca	2.490
accede	2.500
acceded	2.580
accel	2.400
accelerate	3.660
accelerated	3.750
accelerates	2.970
accelerating	3.460
acceleration	3.730
accelerator	3.420
accelerators	2.770
